sequence,Gephi,KMeans_15D,KMeans_2D
21|15.36,1,2,0
21|0.36,1,2,0
33|25,1,0,2
16|25,1,0,2
28|25,1,0,2
18|25,1,0,2
36|0.15,1,2,0
10|25,1,0,2
15|12.36,1,0,2
23|25,1,0,2
25|12.17,1,3,1
19|25,1,0,2
17|25,1,0,2
8|25,1,0,2
18|7,1,2,3
0|12.36,1,0,2
33|26.25,1,2,0
2|25,1,0,2
25|12.7,1,3,1
16|37,1,3,1
6|25,1,0,2
12|36.34,1,3,1
11|13.25,1,2,0
12|25.34,1,3,1
12|36.20,1,3,1
12|36.17,1,3,1
12|37.26,1,3,1
20|12.36,1,0,2
34|12.36,1,0,2
12|36.6,1,3,1
12|36.19,1,3,1
12|36.18,1,3,1
12|25.17,1,3,1
12|36.1,1,3,1
12|36.11,1,3,1
12|25.11,1,3,1
12|37.15,1,3,1
28|22.25,1,2,0
12|34.28,1,3,1
12|27,1,3,1
13|11.25,1,2,0
1|29.36,1,2,0
36|24.3,1,2,0
18|12.36,1,0,2
12|37.22,1,3,1
12|36.7,1,3,1
17|12.36,1,0,2
26|25,1,0,2
28|22.36,1,2,0
12|37.2,1,3,1
20|25,1,0,2
12|25.7,1,3,1
12|5,1,3,1
1|12.36,1,0,2
25|12.13,1,3,1
25|16,1,3,1
31|25,1,0,2
20|36,1,0,3
25|2,1,2,3
27|36,1,0,3
3|12.36,1,0,2
36|30,1,0,2
32|36,1,0,3
37|28,1,2,3
37|2,1,2,3
20|6,1,2,3
34|28,1,2,3
17|36,1,0,3
12|37.3,1,3,1
22|25,1,0,2
37|27,1,2,3
19|6,1,2,3
12|36.27,1,3,1
37|24,1,2,3
12|2,1,2,3
12|16,1,3,1
25|27,1,3,1
26|36,1,0,3
25|6,1,3,1
4|36,1,0,3
3|25,1,0,2
11|12.36,1,0,2
36|34,1,2,3
25|30,1,3,1
6|,1,2,3
12|36.16,1,3,1
12|36.0,1,3,1
32|25,1,0,2
25|33,1,3,1
36|1,1,2,3
25|34.12,1,3,1
36|8,1,2,3
3|36,1,0,3
16|23,1,2,3
1|36,1,0,3
33|36,1,0,3
9|8,1,2,3
36|11,1,2,3
24|25,1,0,2
15|25,1,0,2
16|36,1,0,3
15|21,1,2,0
29|12.36,1,0,2
22|36,1,0,3
34|22,1,2,3
12|10,1,3,1
37|29,1,2,3
37|7,1,2,3
24|3,1,2,3
21|15.12,1,2,0
1|25,1,0,2
37|33,1,2,3
37|32,1,2,3
11|25,1,0,2
37|22,1,2,3
29|36,1,0,3
12|36.29,1,3,1
23|36,1,0,3
11|36,1,0,3
12|22,1,3,1
36|29,1,2,3
12|36.4,1,3,1
24|36,1,0,3
37|19,1,2,3
12|37.10,1,3,1
12|36.33,1,3,1
37|4,1,2,3
33|26.36,1,2,0
13|11.12,1,2,3
37|20,1,2,3
36|20,1,2,3
6|20,1,2,3
15|36,1,0,3
6|20.25,1,2,0
37|30,1,2,3
37|34,1,2,3
27|24.12,1,2,0
27|3,1,2,3
36|16,1,2,3
21|0.12,1,2,0
12|36.21,1,3,1
11|9,1,0,3
32|17.25,1,2,0
36|2,1,0,2
26|2.25,1,2,0
37|1,1,2,3
30|25,1,0,2
19|20,1,2,3
12|36.28,1,3,1
23|8,1,2,3
19|36,1,0,3
27|,1,2,3
25|12.31,1,3,1
9|36,1,0,3
12|36.13,1,3,1
19|9,1,0,3
12|34.12,1,3,1
0|21,1,2,3
29|1,1,2,3
13|25,1,0,2
33|26.12,1,2,0
37|13,1,2,3
25|24,1,3,1
0|36,1,0,3
12|1,1,3,1
37|16,1,2,3
20|19,1,2,3
22|28,1,2,0
37|26,1,2,3
12|36.31,1,3,1
11|13,1,2,3
12|28,1,3,1
36|27,1,2,2
24|27,1,2,2
6|36,1,0,3
5|16,1,2,0
12|30,1,3,1
28|12,1,0,2
12|37.17,1,3,1
37|6,1,2,3
3|12.25,1,0,2
36|6,1,2,3
12|3,1,3,1
12|37.27,1,3,1
37|21,1,2,3
37|11,1,2,3
36|12.36,1,0,2
0|15,1,2,3
37|10,1,2,3
33|12,1,0,2
10|30,1,2,0
36|0.25,1,2,0
21|36,1,0,3
37|3,1,2,3
26|33,1,2,0
32|17,1,0,2
28|22.34,1,2,2
12|4,1,3,1
30|4,1,2,0
6|19,1,2,3
36|7,1,2,3
3|24.12,1,2,0
18|11,1,2,3
12|29,1,3,1
7|36,1,0,2
12|37.11,1,3,1
37|15,1,2,3
29|25,1,0,2
25|17,1,3,1
18|12.31,1,2,3
23|5.16,1,2,0
36|13,1,2,3
12|37.33,1,3,1
1|12.29,1,2,2
28|34,1,2,0
12|37.24,1,3,1
33|,1,2,3
17|32,1,2,3
12|33,1,3,1
37|18,1,2,3
17|32.36,1,2,0
12|37.20,1,3,1
12|37.19,1,3,1
36|22,1,2,3
2|26,1,2,0
25|13,1,3,1
12|11,1,3,1
2|33,1,2,0
11|12.13,1,2,3
17|,1,0,3
12|26,1,3,1
12|37.0,1,3,1
26|12.2,1,2,0
36|18,1,2,3
17|12.32,1,2,2
10|36,1,0,3
29|12.25,1,0,2
36|17,1,2,3
36|26.2,1,2,0
13|12.25,1,0,2
26|12,1,0,2
30|10.36,1,2,0
16|12,1,0,2
12|0.15,1,2,0
7|12.31,1,2,3
25|11,1,3,1
12|7,1,3,1
12|19,1,3,1
7|18,1,2,3
16|,1,2,3
12|37.21,1,3,1
12|37.13,1,3,1
36|24.12,1,2,0
12|18,1,3,1
1|12,1,0,2
5|23,1,0,2
33|2.12,1,2,0
12|32,1,3,1
12|37.28,1,3,1
4|12,1,0,2
12|37.4,1,3,1
7|31,1,2,3
5|12,1,0,2
12|37.7,1,3,1
36|4,1,2,3
20|12,1,0,2
34|,1,0,2
37|17,1,2,3
25|3,1,2,3
37|0,1,2,3
25|34,1,3,1
2|36,1,0,3
25|10,1,2,0
21|12,1,0,2
12|37.32,1,3,1
25|1,1,3,1
20|6.19,1,2,2
11|,1,2,3
12|37.30,1,3,1
10|4,1,2,0
17|12,1,0,2
12|20,1,3,1
12|17,1,3,1
12|37.16,1,3,1
12|36.25,1,3,1
30|,1,0,2
36|32,1,0,2
36|0,1,2,3
25|29,1,2,0
25|1.12,1,2,0
12|37.34,1,3,1
31|7,1,2,3
12|37.6,1,3,1
26|2.33,1,2,0
26|2,1,0,2
12|37.29,1,3,1
36|28,1,2,3
30|10.25,1,2,3
24|,1,0,2
12|21,1,3,1
12|36.9,1,3,1
15|36.0,1,2,0
13|,1,1,2
1|12.37,1,0,2
25|36,1,3,1
25|21,1,3,1
12|37.5,1,3,1
36|33,1,2,2
6|20.36,1,2,0
25|4,1,3,1
12|37.18,1,3,1
36|19,1,2,3
36|21,1,2,3
29|12.31,1,2,3
11|18,1,2,3
27|12,1,0,2
24|12,1,0,2
15|12,1,0,2
22|,1,1,2
23|5.12,1,2,0
19|20.12,1,2,0
37|5,1,2,3
12|37.23,1,3,1
8|,1,1,2
6|20.12,1,2,0
0|25.12,1,0,2
3|,1,1,2
18|,1,1,2
36|3,1,0,2
37|23,1,2,3
5|12.37,1,0,2
0|12,1,0,2
34|12,1,0,2
36|,1,1,2
2|,1,3,1
36|31,1,2,3
19|20.6,1,2,0
1|,1,2,3
36|12,1,1,2
25|18,1,3,1
12|6,1,3,1
0|25,1,0,2
20|36.19,1,2,0
0|36.15,1,2,0
21|15.0,1,2,3
6|12,1,0,2
30|12,1,0,2
12|36.8,1,3,1
37|8,1,2,3
12|37.1,1,3,1
36|15,1,0,2
23|,1,1,2
36|10,1,2,0
32|,1,1,2
28|,1,0,2
29|31,1,2,3
12|37.9,1,3,1
11|12,1,0,2
2|12,1,1,2
6|19.20,1,2,0
12|37.31,1,3,1
37|31,1,2,3
19|12,1,1,2
6|19.12,1,2,3
4|,1,0,2
25|12.36,1,3,1
26|,1,0,2
37|9,1,2,3
36|9,1,0,3
20|,1,3,1
15|0,1,2,0
12|36,1,1,2
22|34,1,2,0
12|37.8,1,3,1
12|8,1,3,1
18|36.12,1,0,3
7|18.31,1,2,2
19|,1,3,1
12|0,1,3,1
21|,1,0,2
7|,1,1,2
12|9,1,3,1
12|15.12,1,2,0
26|12.37,1,0,2
18|31,1,2,3
25|12,1,1,2
31|,1,1,2
12|37,1,1,2
34|25,1,0,2
29|,1,0,2
12|13,1,3,1
25|8,1,3,1
15|,1,3,1
12|25,1,1,2
25|,1,1,2
25|7,1,3,1
10|,1,1,2
9|,1,1,2
13|36,1,0,2
12|31,1,3,1
20|6.25,1,2,0
36|25,1,0,2
5|,1,3,1
20|12.19,1,2,2
12|,1,1,2
0|,1,0,2
37|,1,1,2
